borough,zip_code,persons_injured,persons_killed,pedestrian_injured,pedestrian_killed,cyclist_injured,cyclist_killed,motorist_injured,motorist_killed,factor1,factor2,factor3,factor4,factor5,vehicle1,vehicle2,vehicle3,vehicle4,vehicle5,datetime
Queens,11104,0,0,0,0,0,0,0,0,Pavement Slippery,Unspecified,,,,Sedan,Station Wagon/Sport Utility Vehicle,,,,11/15/2018 15:49
Queens,11355,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Sedan,,,,11/15/2018 15:49
Brooklyn,11203,0,0,0,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Driver Inexperience,,,,Bike,Sedan,,,,11/15/2018 15:50
Brooklyn,11206,0,0,0,0,0,0,0,0,Pavement Slippery,Unspecified,,,,Sedan,Station Wagon/Sport Utility Vehicle,,,,11/15/2018 15:50
Queens,11422,0,0,0,0,0,0,0,0,Pavement Slippery,Unspecified,,,,Sedan,Station Wagon/Sport Utility Vehicle,,,,11/15/2018 15:50
Queens,11375,1,0,0,0,0,0,1,0,Pavement Slippery,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Sedan,,,,11/15/2018 15:52
Brooklyn,11223,0,0,0,0,0,0,0,0,Pavement Slippery,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Sedan,,,,11/15/2018 15:53
Bronx,10455,0,0,0,0,0,0,0,0,Unspecified,,,,,Sedan,,,,,11/15/2018 16:00
Brooklyn,11206,0,0,0,0,0,0,0,0,Pavement Slippery,Unspecified,,,,Sedan,Station Wagon/Sport Utility Vehicle,,,,11/15/2018 16:00
Brooklyn,11212,0,0,0,0,0,0,0,0,Unspecified,,,,,Sedan,,,,,11/15/2018 16:00
Brooklyn,11225,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Pavement Slippery,,,,Box Truck,Sedan,,,,11/15/2018 16:00
Brooklyn,11228,0,0,0,0,0,0,0,0,Unspecified,,,,,Sedan,,,,,11/15/2018 16:00
Brooklyn,11235,0,0,0,0,0,0,0,0,Pavement Slippery,,,,,Station Wagon/Sport Utility Vehicle,,,,,11/15/2018 16:00
Brooklyn,11237,0,0,0,0,0,0,0,0,Pavement Slippery,Unspecified,,,,Sedan,Sedan,,,,11/15/2018 16:00
Queens,11354,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,Sedan,Sedan,,,,11/15/2018 16:00
Queens,11358,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,Chassis Cab,Station Wagon/Sport Utility Vehicle,,,,11/15/2018 16:00
Queens,11432,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,Sedan,Station Wagon/Sport Utility Vehicle,,,,11/15/2018 16:00
Queens,11434,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,Sedan,Sedan,,,,11/15/2018 16:00
Staten Island,10306,0,0,0,0,0,0,0,0,Pavement Slippery,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,11/15/2018 16:00
Manhattan,10075,1,0,0,0,0,0,1,0,Unspecified,,,,,Sedan,,,,,11/15/2018 16:00
Queens,11365,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Taxi,,,,11/15/2018 16:00
